Time,"Points:0","Points:1","Points:2","U:0","U:1","U:2","p"
529,-7.35822,-4.037132,-0.5,1.003377,-0.001473049,-6.928303e-21,0.5359093
529,-7.22613,-4.037132,-0.5,1.003801,-0.001610861,2.328699e-18,0.5355153
529,-7.094041,-4.037132,-0.5,1.004264,-0.001760794,-3.497397e-18,0.5350804
529,-6.961953,-4.037132,-0.5,1.00477,-0.00192402,-5.819014e-18,0.5346009
529,-6.829864,-4.037132,-0.5,1.005324,-0.002101795,4.055518e-18,0.534073
529,-6.697774,-4.037132,-0.5,1.005929,-0.00229547,1.623331e-17,0.5334923
529,-6.565685,-4.037132,-0.5,1.006589,-0.002506498,-2.335171e-18,0.5328541
529,-6.433597,-4.037132,-0.5,1.00731,-0.002736434,-1.622716e-17,0.5321532
529,-6.301507,-4.037132,-0.5,1.008098,-0.002986945,-9.245478e-18,0.531384
529,-6.169418,-4.037132,-0.5,1.008958,-0.003259816,-1.556001e-17,0.5305402
529,-6.037329,-4.037132,-0.5,1.009897,-0.003556949,1.783025e-17,0.5296152
529,-5.905241,-4.037132,-0.5,1.010921,-0.003880372,1.554925e-17,0.5286015
529,-5.773151,-4.037132,-0.5,1.012039,-0.004232236,-1.438059e-17,0.5274912
529,-5.641062,-4.037132,-0.5,1.013259,-0.004614819,0,0.5262753
529,-5.508973,-4.037132,-0.5,1.014589,-0.005030525,3.984894e-18,0.5249446
529,-5.376884,-4.037132,-0.5,1.01604,-0.005481875,-1.078521e-32,0.5234886
529,-5.244795,-4.037132,-0.5,1.017622,-0.005971503,9.590488e-18,0.5218963
529,-5.112706,-4.037132,-0.5,1.019345,-0.006502143,1.127388e-17,0.5201554
529,-4.980617,-4.037132,-0.5,1.021223,-0.007076616,-1.019575e-17,0.5182528
529,-4.848528,-4.037132,-0.5,1.023267,-0.007697803,-7.894242e-18,0.5161744
529,-4.716439,-4.037132,-0.5,1.025492,-0.008368621,7.790285e-18,0.513905
529,-4.58435,-4.037132,-0.5,1.027911,-0.009091984,7.749127e-18,0.5114281
529,-4.452261,-4.037132,-0.5,1.030542,-0.009870756,-6.132629e-18,0.5087261
529,-4.320172,-4.037132,-0.5,1.033399,-0.0107077,-4.443561e-18,0.5057802
529,-4.188083,-4.037132,-0.5,1.0365,-0.01160541,3.285189e-18,0.50257
529,-4.055994,-4.037132,-0.5,1.039864,-0.01256622,8.660742e-18,0.4990743
529,-3.923905,-4.037132,-0.5,1.043508,-0.01359212,2.731914e-18,0.4952703
529,-3.791816,-4.037132,-0.5,1.047453,-0.01468463,8.02192e-19,0.4911339
529,-3.659727,-4.037132,-0.5,1.051717,-0.01584471,1.0113e-17,0.4866398
529,-3.527638,-4.037132,-0.5,1.056322,-0.01707255,1.828645e-17,0.4817615
529,-3.395549,-4.037132,-0.5,1.061287,-0.01836747,1.400202e-17,0.4764717
529,-3.26346,-4.037132,-0.5,1.066632,-0.0197277,2.507108e-18,0.4707419
529,-3.131371,-4.037132,-0.5,1.072378,-0.0211502,-3.480303e-18,0.4645432
529,-2.999282,-4.037132,-0.5,1.078543,-0.02263046,-1.772276e-18,0.4578462
529,-2.867193,-4.037132,-0.5,1.085144,-0.02416229,3.480303e-18,0.4506217
529,-2.735104,-4.037132,-0.5,1.092196,-0.0257376,0,0.4428408
529,-2.603015,-4.037132,-0.5,1.099714,-0.02734621,2.794255e-18,0.4344758
529,-2.470926,-4.037132,-0.5,1.107705,-0.02897566,1.145445e-17,0.4255007
529,-2.338837,-4.037132,-0.5,1.116178,-0.0306111,8.186943e-18,0.4158919
529,-2.206748,-4.037132,-0.5,1.125132,-0.03223517,-3.098245e-18,0.4056292
529,-2.074659,-4.037132,-0.5,1.134563,-0.03382801,-3.900547e-18,0.3946968
529,-1.94257,-4.037132,-0.5,1.144462,-0.0353673,-3.927252e-20,0.3830844
529,-1.810481,-4.037132,-0.5,1.154809,-0.03682848,2.43095e-18,0.3707878
529,-1.678392,-4.037132,-0.5,1.16558,-0.03818503,2.345382e-18,0.3578108
529,-1.546303,-4.037132,-0.5,1.17674,-0.03940896,1.150716e-18,0.3441677
529,-1.414214,-4.037132,-0.5,1.188445,-0.04031192,-6.194519e-23,0.3296597
529,-10,-3.882843,-0.5,1,0,0,0.5385304
529,-9.867911,-3.882843,-0.5,1.000008,-7.180562e-05,-3.543711e-32,0.5385482
529,-9.735822,-3.882843,-0.5,1.000029,-0.0001421881,-3.281519e-17,0.5385796
529,-9.603733,-3.882843,-0.5,1.000064,-0.0002117752,-3.928897e-31,0.5385976
529,-9.471643,-3.882843,-0.5,1.000114,-0.0002812164,4.922304e-17,0.5385982
529,-9.339555,-3.882843,-0.5,1.000177,-0.0003511426,4.082971e-32,0.5385832
529,-9.207466,-3.882843,-0.5,1.000255,-0.0004221858,-1.640784e-17,0.5385527
529,-9.075377,-3.882843,-0.5,1.000346,-0.0004949867,0,0.5385066
529,-8.943288,-3.882843,-0.5,1.000453,-0.0005701982,1.694818e-32,0.5384443
529,-8.811199,-3.882843,-0.5,1.000575,-0.0006484906,1.755392e-18,0.5383653
529,-8.67911,-3.882843,-0.5,1.000713,-0.0007305566,1.755392e-18,0.538269
529,-8.547021,-3.882843,-0.5,1.000868,-0.0008171172,-1.754687e-18,0.5381547
529,-8.414931,-3.882843,-0.5,1.001041,-0.0009089266,6.437381e-18,0.5380211
529,-8.282843,-3.882843,-0.5,1.001233,-0.001006778,-1.186373e-31,0.5378674
529,-8.150754,-3.882843,-0.5,1.001445,-0.001111509,-8.192067e-18,0.5376922
529,-8.018664,-3.882843,-0.5,1.001678,-0.00122401,-2.157042e-32,0.5374941
529,-7.886576,-3.882843,-0.5,1.001936,-0.001345227,3.501506e-18,0.5372713
529,-7.754487,-3.882843,-0.5,1.002218,-0.001476171,-5.263321e-18,0.5370221
529,-7.622397,-3.882843,-0.5,1.002528,-0.001617923,1.984361e-17,0.5367442
529,-7.490309,-3.882843,-0.5,1.002868,-0.001771642,1.051548e-17,0.5364355
529,-7.35822,-3.882843,-0.5,1.00324,-0.001938573,-1.984092e-17,0.5360934
529,-7.22613,-3.882843,-0.5,1.003646,-0.002120053,-1.747959e-18,0.535715
529,-7.094041,-3.882843,-0.5,1.004092,-0.002317521,-1.6563e-32,0.5352972
529,-6.961953,-3.882843,-0.5,1.004578,-0.002532524,-4.622232e-33,0.5348365
529,-6.829864,-3.882843,-0.5,1.00511,-0.002766724,4.064102e-18,0.5343291
529,-6.697774,-3.882843,-0.5,1.005691,-0.003021913,8.118644e-18,0.5337708
529,-6.565685,-3.882843,-0.5,1.006325,-0.003300011,5.746918e-19,0.5331571
529,-6.433597,-3.882843,-0.5,1.007019,-0.003603084,-1.505827e-17,0.5324829
529,-6.301507,-3.882843,-0.5,1.007776,-0.003933343,-1.157842e-17,0.5317428
